no,judul_proposal,judul_skripsi,prodi
139,Rancanga Bangun SIstem Informasi Manajemen Amalia Guest House Malang,Pengembangan Sistem Informasi Pengarsipan Dokumen Kerja Sama Internasional Studi Kasus : Kantor Urusan Internasional Universitas Brawijaya,SI
140,Rancang Bangun Sistem Koreksi dan Evaluasi Lembar Jawab Komputer Berbasis Web Menggunakan Metode Model-View-Controller (Studi Kasus : Try Out SMPIT Al-Ghozali Jember),Pengembangan Sistem Koreksi Lembar Jawab Komputer dan Analisis Hasil Ujian (SIKORAN) Berbasis Web Menggunakan Metode Grayscaling-Thresholding-Cropping (Studi Kasus : Try Out SMPIT Al-Ghozali Jember),SI
141,ANALISIS DAN PERANCANGAN SISTEM PELAPORAN PEMBAYARAN PAJAK BERBASIS WEB,Analisis dan Perancangan Sistem Pelaporan Pembayaran Pajak Berbasis Web Studi Kasus : DISPENDA Kabupaten Madiun,SI
142,PERANCANGAN SITUS WEB RUMAH SAKIT HVA TOELOENGREJO MENGADAPTASI USER CENTERED DESIGN,PERANCANGAN SITUS WEB RUMAH SAKIT HVA TOELOENGREJO DENGAN MENGADAPTASI HUMAN CENTERED DESIGN,SI
143,Pengujian Usability untuk Meningkatkan Efektifitas Antarmuka Aplikasi ASTOFIT,PENGEMBANGAN ANTARMUKA APLIKASI ASSISTANT TO BE FIT (ASTOFIT) DENGAN PENDEKATAN USER CENTERED DESIGN,SI
144,EVALUASI SISTEM INFORMASI PERPUSTAKAAN DENGAN MENGGUNAKAN PENDEKATAN HUMAN-ORGANIZATION-TECHNOLOGY (HOT) FIT MODEL (STUDI KASUS : PERPUSTAKAAN UMUM DAN ARSIP KOTA MALANG),EVALUASI SMART LIBRARY AUTOMATION (SLA) DENGAN MENGGUNAKAN FRAMEWORK HUMAN-ORGANIZATION-TECHNOLOGY (HOT) FIT MODEL,SI
145,RANCANG BANGUN APLIKASI NOTIFIKASI JADWAL UJIAN DAN REKAP KEHADIRAN MAHASISWA FAKULTAS ILMU KOMPUTER UNIVERSITAS BRAWIJAYA MENGGUNAKAN SMS GATEWAY,,SI
146,PENGEMBANGAN SISTEM INFORMASI PENERIMAAN PESERTA DIDIK BARU BERBASIS WEB DAN SMS GATEWAY STUDI KASUS : SMPIT AL-GHOZALI JEMBER,,SI
147,PENGEMBANGAN SISTEM INFORMASI MANAJEMEN BUKU DAN TRANSAKSI PENJUALAN BERBASIS WEB (STUDI KASUS: PENERBIT ARYOKO INDONESIA),PENGEMBANGAN SISTEM INFORMASI MANAJEMEN BUKU DAN TRANSAKSI PENJUALAN BERBASIS WEB (STUDI KASUS: PENERBIT ARYOKO INDONESIA),SI
148,PENGEMBANGAN SISTEM INFORMASI DISTRIBUSI BUKU BERBASIS WEB (STUDI KASUS: PENERBIT ARYOKO INDONESIA),,SI
149,PENGEMBANGAN SISTEM INFORMASI DISTRIBUSI BUKU BERBASIS WEB (STUDI KASUS: PENERBIT ARYOKO INDONESIA),PENGEMBANGAN SISTEM INFORMASI DISTRIBUSI BUKU BERBASIS WEB (STUDI KASUS: PENERBIT ARYOKO INDONESIA),SI
150,EVALUASI PENERIMAAN TEKNOLOGI DIGITAL LIBRARY UNIVERSITAS BRAWIJAYA DENGAN METODE TECHNOLOGY ACCEPTANCE MODEL (TAM),ANALISIS PENERIMAAN SISTEM INFORMASI PERPUSTAKAAN DIGITAL UNIVERSITAS BRAWIJAYA DENGAN METODE TECHNOLOGY ACCEPTANCE MODEL (TAM),SI
151,ANALISIS DAN PERANCANGAN DESAIN ANTARMUKA PENGGUNA APLIKASI BERBASIS MOBILE MENGGUNAKAN METODE USER-CENTERED DESIGN (UCD),PERANCANGAN DESAIN ANTARMUKA PENGGUNA APLIKASI GOVAKANSI BERBASIS MOBILE DENGAN MENGADAPTASI HUMAN-CENTERED DESIGN (HCD),SI
152,PENILAIAN KUALITAS LAYANAN E-GOVERNMENT MENGGUNAKAN DIMENSI E-GOVQUAL PADA PERPUSTAKAAN NASIONAL INDONESIA,Penilaian Kualitas Layanan E-Procurement pada Pemerintah Kabupaten Trenggalek Menggunakan E-GovQual dan Importance Performance Analysis,SI
153,"PEMODELAN PROSES BISNIS DENGAN BPMN (STUDI KASUS : BIDANG PENDIDIK DAN TENAGA KEPENDIDIKAN, DINAS PENDIDIKAN DAERAH KOTA BLITAR)",PERBAIKAN PROSES BISNIS LAYANAN PADA BIDANG PENDIDIK DAN TENAGA KEPENDIDIKAN (PTK) DINAS PENDIDIKAN KOTA BLITAR DENGAN TEKNIK ESIA,SI
154,WEB GIS UNTUK PERHITUNGAN BANGUNAN  DAN ANALISA TATA RUANG KOTA MALANG DALAM VISUALISASI 3 DIMENSI,Web GIS Untuk Perhitungan Bangunan dan Analisa Tata Ruang Kota Malang dalam Visualisasi 3 Dimensi,SI
155,Rancang Bangun Bidding E-commerce Consumer to Consumer (C2C) Berbasis Web dengan Pendekatan Business Process Model and Notation,Pengembangan E-bidding Consumer to Consumer Berbasis Web dengan Menerapkan Dutch Auction,SI
156,PENERAPAN CMMI PADA PENGEMBANGAN SISTEM MONITORING BERORIENTASI OBJEK DI BADAN PUSAT STATISTIK (BPS) PROVINSI JAWA TIMUR,,SI
157,Penerapan CMMI pada Pengembangan Sistem Monitoring Berorientasi Objek di Badan Pusat Statistik (BPS) Provinsi Jawa Timur,,SI
158,PENGEMBANGAN SISTEM MANAJEMEN KEUANGAN BERORIENTASI OBJEK DI CV GUMCODE INDONESIA,,SI
159,PENGEMBANGAN SISTEM MANAJEMEN KEUANGAN (Studi kasus: CV Gumcode Indonesia),PENGEMBANGAN SISTEM MANAJEMEN KEUANGAN (Studi Kasus: CV Gumcode Indonesia),SI
160,AUDIT TATA KELOLA TEKNOLOGI INFORMASI MENGGUNAKAN FRAMEWORK COBIT  4.1 (STUDI KASUS  PUSAT SISTEM INFORMASI MANAJEMEN PDAM KOTA  MALANG),Audit Tata Kelola Teknologi Informasi Menggunakan Framework COBIT 4.1 (Studi Kasus Pusat Sistem Informasi Manajemen PDAM Kota Malang),SI
161,Analisis dan Perancangan Sistem Informasi Penerimaan Pendapatan Asli Daerah (PAD) Non-PBB (Pajak Bumi Bangunan) Kabupaten Madiun,Analisis dan Perancangan Sistem Informasi Penerimaan Pendapatan Asli Daerah (PAD) Non-PBB (Pajak Bumi Bangunan) Kabupaten Madiun,SI
162,"Analisis Pengaruh Persepsi Ukuran, Persepsi Reputasi Dan Kualitas Pelayanan Terhadap Tingkat Kepercayaan Konsumen Pada Game Publisher  Studi Kasus: Gemscool","ANALISIS PENGARUH PERSEPSI UKURAN, PERSEPSI REPUTASI DAN KUALITAS PELAYANAN TERHADAP TINGKAT KEPERCAYAAN KONSUMEN PADA STEAM SEBAGAI MEDIA DISTRIBUSI GAME STUDI KASUS: STEAM",SI
163,ANALISIS TINGKAT KEPUASAN MAHASISWA TERHADAP WEBSITE UNIVERSITAS BRAWIJAYA BERDASARKAN DIMENSI  KUALITAS WEBSITE  ,ANALISIS TINGKAT KEPUASAN MAHASISWA TERHADAP WEBSITE UNIVERSITAS BRAWIJAYA BERDASARKAN DIMENSI KUALITAS WEBSITE,SI
164,Optimasi Query Pada Basis Dat Terdistribusi Menggunakan Metode Teacher-Learne Based Optimiation,OPTIMASI QUERY PADA BASIS DATA TERDISTRIBUSI MEGGUNAKAN METODE TEACHER LEARNER BASED OPTIMIZATION (TLBO),SI
165,Analisis dan Perancangan Sistem Informasi Manajemen Surat dalam Divisi Supply Chain Improvement Menggunakan Object Oriented Analysis (Studi Kasus: PT. Krakatau Steel (Persero) Tbk.),,SI
166,Analisis dan Perancangan Sistem Informasi Pengelolaan Proposal Kegiatan Program Mahasiswa Wirausaha Universitas Brawijaya,Analisis dan Perancangan SIstem Informasi Pengelolaan Proposal Kegiatan Program Mahasiswa Wirausaha Universitas Brawijaya,SI
167,ANALISIS USER EXPERIENCE PADA WEBSITE UNIVERSITAS BRAWIJAYA DENGAN HEURISTIC EVALUATION,Analisis Usability pada Website Universitas Brawijaya dengan Heuristic Evaluation,SI
168,Evaluasi Penerimaan Pengguna Terhadap Sistem Informasi eHRM dengan Menggunakan Technology Acceptance Model (Studi Kasus PT WIjaya Karya (Persero) Tbk ),ANALISIS PENERIMAAN PENGGUNA TERHADAP SISTEM INFORMASI EHRM DENGAN MENGGUNAKAN TECHNOLOGY ACCEPTANCE MODEL (Studi Pada PT Wijaya Karya (Persero) Tbk),SI
169,ANALISIS PENILAIAN KUALITAS LAYANAN JASA E-COMMERCE DENGAN DIMENSI E-SERVQUAL  (STUDI KASUS: BUKALAPAK.COM),,SI
170,"ANALISIS PENILAIAN KUALITAS LAYANAN JASA E-COMMERCE DENGAN DIMENSI E-SERVQUAL 
(STUDI KASUS: TRAVELOKA.COM)",,SI
171,ANALISIS PENILAIAN KUALITAS LAYANAN E-GOVERNMENT PADA WEBSITE PEMERINTAH KABUPATEN MALANG DENGAN DIMENSI E-GOVQUAL,ANALISIS KUALITAS LAYANAN E-GOVERNMENT PADA WEBSITE PEMERINTAH KABUPATEN MALANG DENGAN DIMENSI E-GOVQUAL DAN IMPORTANCE PERFORMANCE ANALYSIS (IPA),SI
172,DAMPAK IMAGE SLIDER TERHADAP USER EXPERIENCE DALAM PENGGUNAAN WEB,Analisis Pengaruh Situs Web Dengan Image Slider Terhadap Pengalaman Pengguna,SI
173,ANALISIS DAN PERANCANGAN SISTEM INFORMASI MANAJEMEN BERBASIS WEBSITE (STUDI KASUS KB & TK PERMATA IMAN MALANG),ANALISIS DAN PERANCANGAN SISTEM INFORMASI MANAJEMEN BERBASIS WEBSITE (STUDI KASUS KB &amp; TK PERMATA IMAN MALANG),SI
174,PEMODELAN PROSES BISNIS MENGGUNAKAN BPMN (STUDI KASUS BIDANG DIKDASMEN DINAS PENDIDIKAN DAERAH KOTA BLITAR) ,,SI
175,RANCANG BANGUN SISTEM INFORMASI BEASISWA MENGGUNAKAN METODE ITERATIVE,PENGEMBANGAN SISTEM INFORMASI BEASISWA MENGGUNAKAN METODE ITERATIF (STUDI KASUS: UNIVERSITAS BRAWIJAYA),SI
176,KLASIFIKASI IT CONSUMPTION DENGAN MENGGUNAKAN METODE ABC-FUZZY CLASSIFICATION SEBAGAI PENDUKUNG STRATEGI PENGELOLAAN PERSEDIAAN DI PT. PERTAMINA REFINERY UNIT V BALIKPAPAN,PENGEMBANGAN PROTOTIPE SISTEM KLASIFIKASI IT CONSUMPTION MENGGUNAKAN METODE ABC-FUZZY SEBAGAI PENDUKUNG STRATEGI PENGELOLAAN PERSEDIAAN DI PT. PERTAMINA REFINERY UNIT V BALIKPAPAN,SI
177,Evaluasi Pengelolaan Sumber Daya Perusahaan Menggunakan COBIT 5 Resource Optimisation  (Studi Kasus : Perum Jasa Tirta I Wilayah Jawa Timur) ,"EVALUASI PENGELOLAAN SUMBER DAYA TI PERUSAHAAN MENGGUNAKAN COBIT 5 RESOURCE OPTIMISATION  
(Studi Kasus : Perum Jasa Tirta I Wilayah Jawa Timur)",SI
178,EVALUASI USABILITY PADA SISTEM INFORMASI PT. PLN (PERSERO) TJBTB APP MALANG (Studi Kasus : PT. PLN (Persero) TJBTB APP Malang),"EVALUASI APLIKASI NANDA (NEW APPLICATION OF ONE DAY ASSISSMENT) APP MALANG MENGGUNAKAN METODE HEURISTIC EVALUATION
(Studi Kasus : PT. PLN (Persero) TJBTB APP Malang)",SI
179,AUDIT SISTEM INFORMASI MONITORING PABRIK GULA KREBET MALANG BERPEDOMAN PADA ITIL versi 3,EVALUASI MATURITAS MANAJEMEN LAYANAN SISTEM INFORMASI MONITORING PADA DIVISI EDP (ELECTRONIC DATA PROCESSING) PABRIK GULA KREBET BARU MALANG BERDASARKAN PADA FRAMEWORK ITIL VERSI 3,SI
180,EVALUASI USABILITY TERHADAP USER INTERFACE APLIKASI CHATBOT PUSH DARI CLIENT PT. SPRINT MENGGUNAKAN METODE HEURISTIC WALKTHROUGH,EVALUASI USABILITY TERHADAP USER INTERFACE APLIKASI CHATBOT PUSH DARI CLIENT PT. SPRINT MENGGUNAKAN HEURISTIC WALKTHROUGH,SI
181,EVALUASI USABILITY TERHADAP USER INTERFACE APLIKASI MEDLINX IZI PT. MEDLINX MENGGUNAKAN HEURISTIC WALKTHROUGH,Evaluasi Usability Terhadap User Interface Aplikasi Medizi Berbasis Website Menggunakan Heuristic Walkthrough,SI
182,PEMETAAN LOKASI STRATEGIS BASE TRANSCEIVER STATION (BTS) DI KOTA MALANG BERBASIS GEO INFORMATION SYSTEM,,SI
183,Analisis Dan Perancangan Sistem Informasi Pengiriman Kargo Untuk Perusahaan Ekspedisi Antar Pulau (Studi Kasus PT Abadi Mitra Andhika),ANALISIS DAN PERANCANGAN SISTEM INFORMASI PENGIRIMAN KARGO UNTUK PERUSAHAAN EKSPEDISI ANTAR PULAU (STUDI KASUS PT ABADI MITRA ANDHIKA),SI
184,ANALISIS DAN PERANCANGAN SISTEM INFORMASI PELAPORAN PUSKESMAS UNTUK MENDUKUNG KEBIJAKAN PADA DINAS KESEHATAN KABUPATEN SUMBAWA,ANALISIS DAN PERANCANGAN SISTEM INFORMASI PELAPORAN PUSKESMAS UNTUK MENDUKUNG KEBIJAKAN PADA DINAS KESEHATAN KABUPATEN SUMBAWA,SI
185,PERANCANGAN DATA WAREHOUSE DENGAN PENDEKATAN USER REQUIREMENT DATA DRIVEN: STUDI KASUS POLDA JATIM,,SI
186,ANALISA KEBUTUHAN DAN PERANCANGAN DATA WAREHOUSE MENGGUNAKAN PENDEKATAN DATA DRIVEN DAN METODE CLUSTERING HIERARCHY AGGLOMERATIVE (STUDI KASUS : RUMAH SAKIT MUHAMMADIYAH LAMONGAN),,SI
187,ANALISA KEBUTUHAN DAN PERANCANGAN DATA WAREHOUSE MENGGUNAKAN PENDEKATAN DATA DRIVEN DAN METODE K-MODE CLUSTERING (STUDI KASUS : RUMAH SAKIT MUHAMMADIYAH LAMONGAN),,SI
188,ANALISIS DAN DESAIN PROSES BISNIS MENGGUNAKAN BUSINESS PROCESS MODEL AND NOTATION (BPMN) PADA JASAWEBMALANG,ANALISIS DAN DESAIN PROSES BISNIS MENGGUNAKAN BUSINESS PROCESS MANAGEMENT AND SYSTEM (BPMS) PADA JASAWEBMALANG,SI
189,ANALISIS DAN DESAIN PROSES BISNIS MENGGUNAKAN BUSINESS PROCESS MODEL AND NOTATION (BPMN) PADA JASAWEBMALANG,,SI
190,ANALISIS DAN DESAIN PROSES BISNIS MENGGUNAKAN BUSINESS PROCESS MODEL AND NOTATION (BPMN) PADA JASAWEBMALANG,ANALISIS DAN DESAIN PROSES BISNIS MENGGUNAKAN BUSINESS PROCESS MODEL AND NOTATION (BPMN) PADA JASAWEBMALANG,SI
191,Evaluasi dan Perbaikan Usability Dashboard  pada PT.PLN (Persero) APD Jawa Timur Berbasis Human Centered Design,EVALUASI DAN PERBAIKAN USABILITY PADA DASHBOARD PT.PLN (PERSERO) APD JAWA TIMUR BERORIENTASI HUMAN CENTERED DESIGN DAN KEY PERFORMANCE INDICATORS,SI
192,PEMODELAN PROSES BISNIS PENERIMAAN MAHASISWA BARU DENGAN PENDEKATAN BUSINESS PROCESS MANAGEMENT (BPM) MENGGUNAKAN TOOLS BUSINESS PROCESS MODELLING AND NOTATION (BPMN),"ANALISA DAN PEMODELAN PROSES BISNIS PENERIMAAN MAHASISWA BARU MENGGUNAKAN BUSINESS PROCESS MODEL AND NOTATION (BPMN)
Studi Kasus: Universitas XYZ",SI
193,Evaluasi Manajemen Resiko E-Procurement Menggunakan COBIT 5 IT Risk (Studi Kasus : PT. Pertamina (Persero) ),Evaluasi Manajemen Resiko E-Procurement Menggunakan COBIT 5 IT Risk (Studi Kasus : PT. Pertamina (Persero) ),SI
194,PEMBANGUNAN SISTEM INFORMASI MANAJEMEN BERBASIS WEBSITE (STUDI KASUS KB & TK PERMATA IMAN MALANG),"PEMBANGUNAN SISTEM INFORMASI PENERIMAAN MURID BARU BERBASIS WEBSITE
DENGAN MENERAPKAN POLA MODEL-VIEW-CONTROLLER
(STUDI KASUS: KB &amp; TK PERMATA IMAN)",SI
195,PEMBANGUNAN SISTEM INFORMASI AKADEMIK SEKOLAH UNTUK SEKOLAH MENENGAH ATAS (SMA) BERBASIS WEB (studi kasus : SMA Kemala Bhayangkari 3 Porong),,SI
196,"PENGEMBANGAN SISTEM INFORMASI PEGAWAI BERBASIS ANDROID DENGAN MENGGUNAKAN ARSITEKTUR MULTI-TIER
(STUDI KASUS PT GANDUM MALANG)",PENGEMBANGAN SISTEM INFORMASI PEGAWAI BERBASIS ANDROID DENGAN MENGGUNAKAN ARSITEKTUR MULTI-TIER (STUDI KASUS PT GANDUM MALANG),SI
197,PENGEMBANGAN SISTEM INFORMASI UNTUK PEGAWAI BERBASIS ANDROID DENGAN MENGGUNAKAN ARSITEKTUR MULTI-TIER (STUDI KASUS PT GANDUM MALANG),PENGEMBANGAN SISTEM INFORMASI UNTUK PEGAWAI BERBASIS ANDROID DENGAN MENGGUNAKAN ARSITEKTUR MULTI-TIER (STUDI KASUS PT GANDUM MALANG),SI
198,EVALUASI DAN PEMODELAN PROSES BISNIS DENGAN THE OPEN GROUP ARCHITECTURE FRAMEWORK ARCHITECTURE DEVELOPMENT METHOD (TOGAF ADM) (STUDI KASUS: UNIT PENGEMBANGAN KARIR DAN KEWIRAUSAHAAN UB).pdf,Pemodelan dan Evaluasi Proses Bisnis dengan Business Process Improvement (BPI) (Studi Kasus: Unit Pengembangan Karir dan Kewirausahaan Universitas Brawijaya),SI
199,"EVALUASI  DESAIN ANTAR MUKA PENGGUNA UNIT LAYANAN,PENGADUAN DAN INFORMASI MASYARAKAT (ULPIM) MENGGUNAKAN METODE USABILITY TESTING","EVALUASI  DESAIN ANTAR MUKA PENGGUNA WEBSITE KABUPATEN BLITAR  MENGGUNAKAN METODE USABILITY TESTING
(STUDI PADA DINAS PEMERINTAHAN KABUPATEN BLITAR)",SI
200,ANALISA DAN PERANCANGAN PROSES BISNIS INKUBASI UMKM MENGGUNAKAN ZACHMAN FRAMEWORK (STUDI KASUS PUSAT INKUBATOR BISNIS DAN LAYANAN MASYARAKAT UNIVERSITAS BRAWIJAYA),,SI
201,ANALISIS DAN PEMODELAN ARSITEKTUR PROSES BISNIS DENGAN THE OPEN GROUP ARCHITECTURE FRAMEWORK ARCHITECTURE DEVELOPMENT METHOD (STUDI KASUS: BRAWIJAYA SMART SCHOOL MALANG),ANALISIS PROSES BISNIS PADA SD BRAWIJAYA SMART SCHOOL MENGGUNAKAN BUSINESS PROCESS IMPROVEMENT (BPI) FRAMEWORK,SI
202,SISTEM INFORMASI GEOGRAFIS PEMETAAN LOKASI  PELAYANAN KESEHATAN DI KOTA MALANG BERBASIS  ANDROID ,SISTEM INFORMASI GEOGRAFIS PEMETAAN LOKASI PELAYANAN KESEHATAN DI KOTA MALANG BERBASIS ANDROID,SI
203,Pengujian Usability untuk Mengukur Penggunaan Website : Studi Kasus Pemerintah Kota Kediri,Evaluasi Usability Situs Web Pemerintah Kota Kediri dengan menggunakan WEBUSE dan Pendekatan Importance-Performance Analysis (IPA),SI
204,ANALYSIS PEMETAAN PELANGGAN POTENSIAL MENGGUNAKAN ALGORITMA K-MEANS DAN RFM MODEL UNTUK MENDUKUNG STRATEGI PENGELOLAAN PELANGGAN (STUDI KASUS: MANINJAU CENTER KOTA MALANG),ANALISIS PEMETAAN PELANGGAN POTENSIAL MENGGUNAKAN ALGORITMA K-MEANS DAN LRFM MODEL UNTUK MENDUKUNG STRATEGI PENGELOLAAN PELANGGAN (STUDI PADA MANINJAU CENTER KOTA MALANG),SI
205,Analisis dan Pemodelan Proses Bisnis (Studi Kasus: KB dan TK Permata Iman Malang),,SI
206,ANALISIS DAN PERANCANGAN SISTEM INFORMASI BANK DARAH (STUDI KASUS PMI KOTA MALANG),ANALISIS DAN PERANCANGAN SISTEM INFORMASI BANK  DARAH (STUDI KASUS PMI KOTA MALANG),SI
207,EVALUASI  WEBSITE UPKK UB BERBASIS MOBILE BERDASARKAN ISO 9241,,SI
208,"Analisis Strategi Bisnis untuk Meningkatkan 
Kualitas Layanan Terhadap Pelanggan 
Berdasarkan Pemetaan LRFM",,SI
209,ANALISIS DAN PERANCANGAN SISTEM INFORMASI KEPEGAWAIAN PT.INDOMETAL INDRABUANA,ANALISIS DAN PERANCANGAN SISTEM INFORMASI KEPEGAWAIAN PT.INDOMETAL MITRABUANA,SI
210,ANALISIS DAN PERANCANGAN SISTEM INFORMASI KEPEGAWAIAN PT.INDOMETAL INDRABUANA BERBASIS WEB,ANALISIS DAN PERANCANGAN SISTEM INFORMASI KEPEGAWAIAN PT.INDOMETAL MITRABUANA,SI
211,Evaluasi Kualitas Website SIMBADA Menggunakan Metode WEBQUAL (Studi Kasus: Dinas Pendidikan Kota Malang),,SI
212,Evaluasi Kualitas Website Menggunakan Metode WEBQUAL 4.0 (Studi Kasus: Jurusan Matematika Fakultas MIPA Universitas Brawijaya Malang),,SI
213,ANALISIS KUALITAS LAYANAN WEBSITE TERHADAP KEPUASAN PENGGUNA MENGGUNAKAN METODE WEBQUAL 4.0,,SI
214,ANALISIS KUALITAS LAYANAN WEBSITE TERHADAP PERSEPSI PENGGUNA MENGGUNAKAN METODE WEBQUAL DAN SERVQUAL,Analisis Kualitas Layanan Website Terhadap Persepsi Pengguna Menggunakan Metode Webqual Dan Servqual,SI
215, Metode UCD (User Centered Design) Untuk Perbaikan Antarmuka Aplikasi Website E-BBM  (STUDI KASUS: PDAM KOTA MALANG),,SI
216,Metode UCD evaluasi website E-BBM pdam kota malang,,SI
217,Metode UCD evaluasi website E-BBM pdam kota malang,,SI
218,Metode UCD evaluasi website E-BBM pdam kota malang,Pengembangan Fitur Baru Aplikasi Bahan Bakar Minyak (e-BBM) Berbasis Web Dengan Menggunakan Metode User Centered Design,SI
219,ANALISIS DAN PERANCANGAN SISTEM INFORMASI PENCARIAN DAN PEMESANAN LAUNDRY KOTA MALANG DENGAN PENDEKATAN BERORIENTASI OBJEK,,SI
220,PEMBANGUNAN WEB GIS MANAJEMEN AMBULANS UNTUK MENENTUKAN RUTE PENANGANAN GAWAT DARURAT DI KOTA MALANG BERBASIS TEKNOLOGI GPS DAN ALGORITMA SHORTEST PATH,PEMBANGUNAN WEB GIS MANAJEMEN AMBULANS UNTUK MENENTUKAN RUTE PENANGANAN GAWAT DARURAT DI KOTA MALANG BERBASIS TEKNOLOGI GPS DAN ALGORITMA SHORTEST PATH,SI
221,"EVALUASI DAN PEMODELAN PROSES BISNIS MENGGUNAKAN METODE PERANCANGAN ULANG SISTEMATIS (STUDI KASUS: UNIT HOME SERVICE PT. TELEKOMUNIKASI INDONESIA, TBK DIVRE V JATIM SURAMADU)","ANALISIS DAN PEMODELAN PROSES BISNIS MENGGUNAKAN METODE BUSINESS PROCESS IMPROVEMENT (STUDI KASUS: UNIT HOME SERVICE PT. TELEKOMUNIKASI INDONESIA, TBK DIVRE V JATIM SURAMADU)",SI
222,EVALUASI DAN RANCANG ULANG KUISIONER ONLINE PENILAIAN DOSEN PADA SISTEM INFORMASI AKADEMIK MAHASISWA UNIVERSITAS BRAWIJAYA,EVALUASI DAN PERANCANGAN ULANG KUESIONER ONLINE PENILAIAN DOSEN PADA SISTEM INFORMASI AKADEMIK MAHASISWA UNIVERSITAS BRAWIJAYA,SI
223,PENERAPAN QFD PADA FASE REQUIREMENT ENGINEERING UNTUK PENGEMBANGAN SISTEM INFORMASI WHISTLEBLOWING DI BADAN PUSAT STATISTIK (BPS) PROVINSI JAWA TIMUR,PENERAPAN QFD PADA FASE REQUIREMENT ENGINEERING UNTUK PENGEMBANGAN SISTEM INFORMASI WHISTLEBLOWING DI BADAN PUSAT STATISTIK (BPS) PROVINSI JAWA TIMUR,SI
224,ANALISIS PERANCANGAN SISTEM INFORMASI PADA PROSES BISNIS B2B EXPORT PRODUK USAHA MIKRO KECIL MENENGAH MENGGUNAKAN METODE OOAD (OBJECT ORIENTED ANALYSIS AND DESIGN),"ANALISIS DAN PERANCANGAN SISTEM INFORMASI B2B UNTUK MENDUKUNG EKSPOR PRODUK USAHA MIKRO, KECIL, DAN MENENGAH (UMKM) DENGAN PENDEKATAN BERORIENTASI OBJEK",SI
225,RANCANG BANGUN ELECTRONIC CUSTOMER RELATIONSHIP MANAGEMENT (E-CRM) UNIT TRANFUSI DARAH (Studi Kasus: Palang Merah Indonesia Kota Malang),PENGEMBANGAN ELECTRONIC CUSTOMER RELATIONSHIP MANAGEMENT (E-CRM) UNIT TRANFUSI DARAH (Studi Kasus: Palang Merah Indonesia Kota Malang),SI
226,Analisis Proses Bisnis Sistem Penjaminan Mutu Pendidikan Bidang SDM Pada SMKN 2 Malang,ANALISIS PROSES BISNIS UNIT ADMINISTRASI KESISWAAN DENGAN METODE QUALITY EVALUATION FRAMEWORK (QEF) PADA SDN LIPRAK KULON 1,SI
227,RANCANG BANGUN SISTEM INFORMASI PEMINJAMAN BUKU ELEKTRONIK PADA PERPUSTAKAAN UNIVERSITAS BRAWIJAYA BERBASIS WEB DAN MOBILE,PENGEMBANGAN SISTEM PEMINJAMAN BUKU ELEKTRONIK MENGGUNAKAN ARSITEKTUR MULTI-TIER (STUDI KASUS PERPUSTAKAAN UNIVERSITAS BRAWIJAYA),SI
228,EVALUASI TATA KELOLA TEKNOLOGI INFORMASI PADA  PT. TELKOM AKSES MALANG MENGGUNAKAN FRAMEWORK COBIT 4.1,EVALUASI MANAJEMEN LAYANAN TENOSS (TELKOM NATIONAL OPERATIONS SUPPORT SYSTEM) PADA PT. TELKOM AKSES MALANG MENGGUNAKAN FRAMEWORK ITIL V3,SI
229,Analisa Tingkat Pemanfaatan Fitur Setting Privasi Oleh Pengguna pada Media Sosial Instagram dengan Menggunakan Metode Structural Equation Modelling (SEM),Analisi Faktor-Faktor yang Memengaruhi Publikasi Foto Pribadi Pengguna pada Instagram dengan Menggunakan Structural Equation Modeling (SEM),SI
230,Analisa dan Pemodelan Arsitektur Proses Bisnis Layanan Pendaftaran Penduduk Menggunakan Metode Zachman Framework (Studi Kasus : Dinas Kependudukan dan Pencatatan Sipil Kota Malang),Analisa dan Pemodelan Arsitektur Layanan Pendaftaran Penduduk Menggunakan Metode TOGAF ADM (Studi Kasus : Dinas Kependudukan dan Pencatatan Sipil Kota Malang),SI
231,ANALISA DAN PEMODELAN PROSES BISNIS SISTEM INFORMASI MANAJEMEN DENGAN PENDEKATAN BUSINESS PROCESS MANAGEMENT (BPM) PADA CV. GAFINA PUTRA JAYA ,EVALUASI PROSES BISNIS PADA CV. GAFINA PUTRA JAYA DENGAN QUALITY EVALUATION FRAMEWORK (QEF),SI
232,PENILAIAN PENGGUNA TERHADAP SUATU SITUS BERDASARKAN ASPEK USABILITY: STUDI KASUS  PERPUSTAKAAN MALANG,"Perbaikan Usability Situs Web dengan Memanfaatkan WEBUSE dan Usability Testing
(Studi pada: Fakultas Teknologi Pertanian Universitas Brawijaya)",SI
233,PERANCANGAN SISTEM INFORMASI ASPIRASI DAN KETENTUAN PERUNTUKAN BANGUNAN PADA DINAS CIPTA KARYA DAN TATA RUANG KABUPATEN MALANG DENGAN PENDEKATAN BERORIENTASI OBJEK,ANALISIS DAN PERANCANGAN SISTEM INFORMASI IZIN LOKASI (SILOKA) PADA DINAS CIPTA KARYA DAN TATA RUANG KABUPATEN MALANG DENGAN PENDEKATAN BERORIENTASI OBJEK,SI
234,Pemodelan Proses Bisnis Menggunakan BPMN : Studi Kasus Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Brawijaya,,SI
